Parcel ID,Date of Assessment,Assessed By,Notes,EUDR Status,Overlap,On Land,In Country,Deforestation Risk,Protected Area Risk,EUDR Data,EUDR Explanation
ADW-9002-F1,2026-07-08,EUDR Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
ADW-9003-F1,2026-07-16,GIS Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
ADW-9004-F1,2026-07-25,EUDR Analyst,Plot falls inside a gazetted forest reserve; excluded from certified volume.,Non-Compliant,full,yes,yes,High,High,baseline=2020-12-31;source=demo-sample,Geometry intersects a protected area and shows post-2020 canopy loss — not eligible for EUDR-compliant sourcing.
ABM-9001-F1,2026-07-10,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
ABM-9001-F2,2026-06-07,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
ABM-9002-F1,2026-06-13,EUDR Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
ABM-9003-F1,2026-05-13,Compliance Officer,Northern edge sits close to a reserve buffer — re-walk requested before the next shipment.,Needs Review,partial,yes,yes,Medium,Low,baseline=2020-12-31;source=demo-sample,Partial overlap with a buffer polygon in the 2020 baseline; needs a second survey to confirm the boundary.
ABM-9004-F1,2026-07-11,GIS Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
AYK-9001-F1,2026-06-19,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
AYK-9001-F2,2026-05-17,EUDR Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
AYK-9002-F1,2026-06-08,GIS Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
AYK-9003-F1,2026-04-17,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
AYK-9004-F1,2026-05-20,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
NHY-9001-F1,2026-07-04,GIS Analyst,Awaiting satellite re-check; polygon captured but not yet assessed.,Unknown,none,yes,yes,,,baseline=2020-12-31;source=demo-sample,No baseline comparison run yet for this plot.
NHY-9001-F2,2026-07-25,GIS Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
NHY-9002-F1,2026-05-06,GIS Analyst,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
NHY-9003-F1,2026-04-13,GIS Analyst,Northern edge sits close to a reserve buffer — re-walk requested before the next shipment.,Needs Review,partial,yes,yes,Medium,Low,baseline=2020-12-31;source=demo-sample,Partial overlap with a buffer polygon in the 2020 baseline; needs a second survey to confirm the boundary.
NHY-9004-F1,2026-06-08,Compliance Officer,Polygon walked with the farmer; boundaries agree with the field sketch.,Compliant,none,yes,yes,Low,Low,baseline=2020-12-31;source=demo-sample,Plot verified deforestation-free against the 2020 forest baseline; no protected-area or on-land conflicts.
